Using Device: mps and False
Training and Testing Data Loaded!
Epoch 1
-----------------------
loss: 0.074898  [ 4900/60000]
loss: 0.299466  [ 5000/60000]
loss: 0.014877  [ 5100/60000]
loss: 0.274954  [ 5200/60000]
loss: 0.000372  [ 5300/60000]
loss: 0.025593  [ 5400/60000]
loss: 0.005740  [ 5500/60000]
loss: 0.598402  [ 5600/60000]
loss: 0.129842  [ 5700/60000]
loss: 3.154856  [ 5800/60000]
loss: 0.001707  [ 5900/60000]
loss: 0.001281  [ 6000/60000]
loss: 0.590310  [ 6100/60000]
loss: 0.093033  [ 6200/60000]
loss: 0.199596  [ 6300/60000]
loss: 0.015061  [ 6400/60000]
loss: 0.126593  [ 6500/60000]
loss: 1.164696  [ 6600/60000]
loss: 0.004451  [ 6700/60000]
loss: 0.001983  [ 6800/60000]
loss: 0.048623  [ 6900/60000]
loss: 0.377638  [ 7000/60000]
loss: 0.016896  [ 7100/60000]
loss: 0.264819  [ 7200/60000]
loss: 0.119044  [ 7300/60000]
loss: 0.065950  [ 7400/60000]
loss: 0.002852  [ 7500/60000]
loss: 0.063025  [ 7600/60000]
loss: 0.039330  [ 7700/60000]
loss: 0.028600  [ 7800/60000]
loss: 0.285381  [ 7900/60000]
loss: 0.000446  [ 8000/60000]
loss: 0.022681  [ 8100/60000]
loss: 7.606628  [ 8200/60000]
loss: 0.722707  [ 8300/60000]
loss: 0.214394  [ 8400/60000]
loss: 0.002729  [ 8500/60000]
loss: 0.730893  [ 8600/60000]
loss: 0.077086  [ 8700/60000]
loss: 0.032663  [ 8800/60000]
loss: 0.022543  [ 8900/60000]
loss: 0.007357  [ 9000/60000]
loss: 0.007223  [ 9100/60000]
loss: 0.023802  [ 9200/60000]
loss: 0.001405  [ 9300/60000]
loss: 0.002383  [ 9400/60000]
loss: 0.002248  [ 9500/60000]
loss: 0.000048  [ 9600/60000]
loss: 0.003323  [ 9700/60000]
loss: 0.128069  [ 9800/60000]
loss: 0.061884  [ 9900/60000]
loss: 0.000972  [10000/60000]
loss: 0.007611  [10100/60000]
loss: 0.072265  [10200/60000]
loss: 0.004417  [10300/60000]
loss: 0.122563  [10400/60000]
loss: 0.006880  [10500/60000]
loss: 0.053073  [10600/60000]
loss: 0.030245  [10700/60000]
loss: 0.878780  [10800/60000]
loss: 0.017089  [10900/60000]
loss: 0.001458  [11000/60000]
loss: 0.144030  [11100/60000]
loss: 0.009525  [11200/60000]
loss: 0.007104  [11300/60000]
loss: 0.063316  [11400/60000]
loss: 0.537653  [11500/60000]
loss: 4.491013  [11600/60000]
loss: 0.023308  [11700/60000]
loss: 0.001560  [11800/60000]
loss: 0.228714  [11900/60000]
loss: 0.132658  [12000/60000]
loss: 0.000016  [12100/60000]
loss: 0.177575  [12200/60000]
loss: 0.034059  [12300/60000]
loss: 0.001485  [12400/60000]
loss: 0.024356  [12500/60000]
loss: 0.608181  [12600/60000]
loss: 0.064435  [12700/60000]
loss: 0.114772  [12800/60000]
loss: 0.400613  [12900/60000]
loss: 0.115156  [13000/60000]
loss: 0.228388  [13100/60000]
loss: 0.278461  [13200/60000]
loss: 0.034576  [13300/60000]
loss: 0.148983  [13400/60000]
loss: 0.041217  [13500/60000]
loss: 0.000666  [13600/60000]
loss: 0.129467  [13700/60000]
loss: 0.046689  [13800/60000]
loss: 0.219495  [13900/60000]
loss: 0.006500  [14000/60000]
loss: 1.714634  [14100/60000]
loss: 0.009746  [14200/60000]
loss: 0.049824  [14300/60000]
loss: 0.002268  [14400/60000]
loss: 1.169210  [14500/60000]
loss: 0.014200  [14600/60000]
loss: 0.163396  [14700/60000]
loss: 0.049108  [14800/60000]
loss: 0.013956  [14900/60000]
loss: 0.042703  [15000/60000]
loss: 0.036446  [15100/60000]
loss: 0.002974  [15200/60000]
loss: 0.018928  [15300/60000]
loss: 0.096018  [15400/60000]
loss: 0.041478  [15500/60000]
loss: 0.001510  [15600/60000]
loss: 0.003982  [15700/60000]
loss: 0.006163  [15800/60000]
loss: 0.000880  [15900/60000]
loss: 0.000208  [16000/60000]
loss: 3.122909  [16100/60000]
loss: 0.205298  [16200/60000]
loss: 0.007931  [16300/60000]
loss: 0.177524  [16400/60000]
loss: 0.000560  [16500/60000]
loss: 0.198994  [16600/60000]
loss: 0.102937  [16700/60000]
loss: 0.001042  [16800/60000]
loss: 0.024080  [16900/60000]
loss: 0.011578  [17000/60000]
loss: 0.210309  [17100/60000]
loss: 0.239943  [17200/60000]
loss: 0.017873  [17300/60000]
loss: 1.216632  [17400/60000]
loss: 0.160750  [17500/60000]
loss: 0.053280  [17600/60000]
loss: 0.351901  [17700/60000]
loss: 0.036151  [17800/60000]
loss: 0.084825  [17900/60000]
loss: 0.179033  [18000/60000]
loss: 0.017404  [18100/60000]
loss: 0.012130  [18200/60000]
loss: 0.001456  [18300/60000]
loss: 0.052107  [18400/60000]
loss: 0.183791  [18500/60000]
loss: 0.034534  [18600/60000]
loss: 0.318425  [18700/60000]
